station_fid,Case_control,n_movers_in,n_movers_in_with_child,n_movers_in_Lowincome,movers_in_fam_med_income,movers_in_i_med_income,n_movers_in_married,n_movers_in_man,movers_in_med_famsize,movers_in_med_age,n_movers_out,n_movers_out_with_child,n_movers_out_Lowincome,movers_out_fam_med_income,movers_out_i_med_income,n_movers_out_married,n_movers_out_man,movers_out_med_famsize,movers_out_med_age,n_stayers,n_stayers_with_child,n_stayers_Lowincome,stayers_fam_med_income,stayers_i_med_income,n_stayers_married,n_stayers_man,stayers_med_famsize,stayers_med_age,Y_x,X_x,stop_label_x,status_x,line_label_x,technology_x,PRUID,opening_date,cma_name,opening_year,cma_total_stayer_individuals,cma_total_stayer_with_child,cma_total_stayer_lowincome,cma_total_stayer_married,cma_total_stayer_man,cma_total_internal_mover_individuals,cma_total_internal_mover_with_child,cma_total_internal_mover_lowincome,cma_total_internal_mover_married,cma_total_internal_mover_man,cma_total_mover_in_individuals,cma_total_mover_in_with_child,cma_total_mover_in_lowincome,cma_total_mover_in_married,cma_total_mover_in_man,cma_total_mover_out_individuals,cma_total_mover_out_with_child,cma_total_mover_out_lowincome,cma_total_mover_out_married,cma_total_mover_out_man,cma_avg_income_fam_stayer,cma_avg_income_i_stayer,cma_avg_fam_size_stayer,cma_avg_age_stayer,cma_avg_income_fam_internal_mover,cma_avg_income_i_internal_mover,cma_avg_fam_size_internal_mover,cma_avg_age_internal_mover,cma_avg_income_fam_mover_in,cma_avg_income_i_mover_in,cma_avg_fam_size_mover_in,cma_avg_age_mover_in,cma_avg_income_fam_mover_out,cma_avg_income_i_mover_out,cma_avg_fam_size_mover_out,cma_avg_age_mover_out
11,0,21285,9900,3650,89300,36100,8560,9875,2,37,30420,14775,4310,101800,41200,15380,14600,2.25,37,20315,9055,2135,100100,44000,10560,9325,2,46,51.0379605,-114.1541947,45 Street SW,Existing,Blue Line (202),LRT,48,12/8/2012,Calgary,2012,19383275,11076315,2021340,12091055,9462970,97455375,57645575,9649490,64391670,47800000,2818225,1082545,807700,1086530,1482620,1784330,613915,402850,668075,985220,100354.5455,43081.81818,3,42.27272727,100972.7273,45136.36364,3,38.81818182,57127.27273,20972.72727,2,31.54545455,59454.54545,28272.72727,2,36.18181818
11,1,6935,3265,1350,72700,32100,3070,3145,2,36,5275,2570,1080,68000,32600,2065,2355,2,34,9875,5655,1150,107600,37900,5615,4625,2.8,46,51.0379605,-114.1541947,45 Street SW,Existing,Blue Line (202),LRT,48,12/8/2012,Calgary,2012,19383275,11076315,2021340,12091055,9462970,97455375,57645575,9649490,64391670,47800000,2818225,1082545,807700,1086530,1482620,1784330,613915,402850,668075,985220,100354.5455,43081.81818,3,42.27272727,100972.7273,45136.36364,3,38.81818182,57127.27273,20972.72727,2,31.54545455,59454.54545,28272.72727,2,36.18181818
14,0,25930,13060,4190,108000,41200,12735,12185,2.4,37,25085,13185,3365,112100,41800,13525,12150,2.6,39,15210,6915,1600,108300,45300,8420,7125,2,43,51.0376451,-114.1876094,69 Street SW,Existing,Blue Line (202),LRT,48,12/8/2012,Calgary,2012,19383275,11076315,2021340,12091055,9462970,97455375,57645575,9649490,64391670,47800000,2818225,1082545,807700,1086530,1482620,1784330,613915,402850,668075,985220,100354.5455,43081.81818,3,42.27272727,100972.7273,45136.36364,3,38.81818182,57127.27273,20972.72727,2,31.54545455,59454.54545,28272.72727,2,36.18181818
14,1,11590,6190,1495,112200,41800,6545,5485,2.59,40,4950,2625,800,99000,33700,2205,2200,2.33,36,10995,6690,1055,131500,39700,6945,5225,3,48,51.0376451,-114.1876094,69 Street SW,Existing,Blue Line (202),LRT,48,12/8/2012,Calgary,2012,19383275,11076315,2021340,12091055,9462970,97455375,57645575,9649490,64391670,47800000,2818225,1082545,807700,1086530,1482620,1784330,613915,402850,668075,985220,100354.5455,43081.81818,3,42.27272727,100972.7273,45136.36364,3,38.81818182,57127.27273,20972.72727,2,31.54545455,59454.54545,28272.72727,2,36.18181818
21,0,23080,12335,4025,58400,21900,11205,11035,2.5,37,29280,14975,4055,58000,23400,15305,14080,2.4,37,16970,10945,1745,68600,23700,10080,8365,3,42,50.9543165,-114.0745188,Anderson,Existing,Red Line (201),LRT,48,10/9/2001,Calgary,2001,18784505,11028960,1785475,12274480,9134090,156892690,95442140,14184905,107632300,76656760,3649105,1673315,900750,1637660,1884135,1813050,695160,434450,752335,1005905,72963.63636,30400,3,41.27272727,75309.09091,32227.27273,3,39,48781.81818,16009.09091,2.090909091,31.90909091,41236.36364,17863.63636,2,35.36363636
21,1,5475,2685,980,50000,21900,2465,2665,2,36,5700,2850,895,49500,21300,2420,2955,2,34,7640,4975,650,80500,25300,4655,3930,3,44,50.9543165,-114.0745188,Anderson,Existing,Red Line (201),LRT,48,10/9/2001,Calgary,2001,18784505,11028960,1785475,12274480,9134090,156892690,95442140,14184905,107632300,76656760,3649105,1673315,900750,1637660,1884135,1813050,695160,434450,752335,1005905,72963.63636,30400,3,41.27272727,75309.09091,32227.27273,3,39,48781.81818,16009.09091,2.090909091,31.90909091,41236.36364,17863.63636,2,35.36363636
26,0,9610,5375,1980,41600,16800,4260,4755,2.5,31,18665,10695,3400,37500,16600,10210,9075,3,33,4455,2815,705,49300,19800,2655,2130,3,38,51.0870474,-114.1318034,Brentwood,Existing,Red Line (201),LRT,48,8/30/1990,Calgary,1990,10670950,6414660,1110940,7024715,5231150,78767230,50458010,8323720,55592125,38694425,2703355,1405505,670995,1330830,1369890,1405345,666120,365025,644755,753340,50436.36364,22563.63636,3,37.90909091,53010,24120,3,35.9,37720,12870,2.5,32.3,30460,13530,2.1,33.1
26,1,6925,3480,1720,35300,12100,2190,3335,2.2,27,7330,2540,1715,26200,14200,2530,3720,2,27,6385,3520,770,54000,18400,3445,3085,2.6,41,51.0870474,-114.1318034,Brentwood,Existing,Red Line (201),LRT,48,8/30/1990,Calgary,1990,10670950,6414660,1110940,7024715,5231150,78767230,50458010,8323720,55592125,38694425,2703355,1405505,670995,1330830,1369890,1405345,666120,365025,644755,753340,50436.36364,22563.63636,3,37.90909091,53010,24120,3,35.9,37720,12870,2.5,32.3,30460,13530,2.1,33.1
28,0,37670,20415,7840,51700,19600,16850,18010,2.5,33,26705,14370,4120,56300,22500,13480,13075,2.5,35,24015,15740,2365,70100,24300,14465,11800,3,42,50.9359154,-114.0697921,Canyon Meadows,Existing,Red Line (201),LRT,48,10/9/2001,Calgary,2001,18784505,11028960,1785475,12274480,9134090,156892690,95442140,14184905,107632300,76656760,3649105,1673315,900750,1637660,1884135,1813050,695160,434450,752335,1005905,72963.63636,30400,3,41.27272727,75309.09091,32227.27273,3,39,48781.81818,16009.09091,2.090909091,31.90909091,41236.36364,17863.63636,2,35.36363636
28,1,9480,4930,1905,49100,21000,4100,4380,2.27,35,9230,4565,1660,47200,20200,3765,4720,2,34,12545,8260,1205,75300,24800,7400,6265,3,43,50.9359154,-114.0697921,Canyon Meadows,Existing,Red Line (201),LRT,48,10/9/2001,Calgary,2001,18784505,11028960,1785475,12274480,9134090,156892690,95442140,14184905,107632300,76656760,3649105,1673315,900750,1637660,1884135,1813050,695160,434450,752335,1005905,72963.63636,30400,3,41.27272727,75309.09091,32227.27273,3,39,48781.81818,16009.09091,2.090909091,31.90909091,41236.36364,17863.63636,2,35.36363636
